pair_id,annotator_id,cv_id,job_id,cv_text,cv_skills,job_text,job_skills,relevance,notes
cv-1-job-106,A01,1,106,"Backend software engineer with three years of experience building REST APIs and microservices using Java, Spring Boot, PostgreSQL, Docker, and CI/CD pipelines.","[""Java"",""Spring Boot"",""PostgreSQL"",""Docker"",""CI/CD""]","Chuyên viên phân tích dữ liệu. Chuẩn bị báo cáo và mô hình học máy bằng Python, SQL, Power BI và pandas.","[""Python"",""SQL"",""Power BI"",""pandas""]",0,Synthetic fixture only
cv-1-job-103,A01,1,103,"Backend software engineer with three years of experience building REST APIs and microservices using Java, Spring Boot, PostgreSQL, Docker, and CI/CD pipelines.","[""Java"",""Spring Boot"",""PostgreSQL"",""Docker"",""CI/CD""]","Frontend Engineer. Create accessible browser interfaces with React, TypeScript, HTML, and CSS for customer-facing products.","[""React"",""TypeScript"",""HTML"",""CSS""]",0,Synthetic fixture only
cv-1-job-102,A01,1,102,"Backend software engineer with three years of experience building REST APIs and microservices using Java, Spring Boot, PostgreSQL, Docker, and CI/CD pipelines.","[""Java"",""Spring Boot"",""PostgreSQL"",""Docker"",""CI/CD""]","Lập trình viên Java backend. Phát triển REST API và kiến trúc vi dịch vụ bằng Java, Spring Boot và PostgreSQL.","[""Java"",""Spring Boot"",""PostgreSQL""]",2,Synthetic fixture only
cv-2-job-104,A01,2,104,"Kỹ sư phần mềm có kinh nghiệm phát triển REST API và dịch vụ backend bằng Python, FastAPI, PostgreSQL và Docker. Đã tham gia kiểm thử và triển khai hệ thống.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]","Kỹ sư Python backend. Xây dựng REST API bằng Python, FastAPI, PostgreSQL và Docker; viết kiểm thử cho hệ thống.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]",2,Synthetic fixture only
cv-2-job-106,A01,2,106,"Kỹ sư phần mềm có kinh nghiệm phát triển REST API và dịch vụ backend bằng Python, FastAPI, PostgreSQL và Docker. Đã tham gia kiểm thử và triển khai hệ thống.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]","Chuyên viên phân tích dữ liệu. Chuẩn bị báo cáo và mô hình học máy bằng Python, SQL, Power BI và pandas.","[""Python"",""SQL"",""Power BI"",""pandas""]",1,Synthetic fixture only
cv-1-job-104,A01,1,104,"Backend software engineer with three years of experience building REST APIs and microservices using Java, Spring Boot, PostgreSQL, Docker, and CI/CD pipelines.","[""Java"",""Spring Boot"",""PostgreSQL"",""Docker"",""CI/CD""]","Kỹ sư Python backend. Xây dựng REST API bằng Python, FastAPI, PostgreSQL và Docker; viết kiểm thử cho hệ thống.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]",0,Synthetic fixture only
cv-2-job-103,A01,2,103,"Kỹ sư phần mềm có kinh nghiệm phát triển REST API và dịch vụ backend bằng Python, FastAPI, PostgreSQL và Docker. Đã tham gia kiểm thử và triển khai hệ thống.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]","Frontend Engineer. Create accessible browser interfaces with React, TypeScript, HTML, and CSS for customer-facing products.","[""React"",""TypeScript"",""HTML"",""CSS""]",0,Synthetic fixture only
cv-1-job-101,A01,1,101,"Backend software engineer with three years of experience building REST APIs and microservices using Java, Spring Boot, PostgreSQL, Docker, and CI/CD pipelines.","[""Java"",""Spring Boot"",""PostgreSQL"",""Docker"",""CI/CD""]","Backend Java Developer. Build REST APIs and microservices with Java, Spring Boot, PostgreSQL, Docker, and automated delivery pipelines.","[""Java"",""Spring Boot"",""PostgreSQL"",""Docker""]",2,Synthetic fixture only
cv-2-job-105,A01,2,105,"Kỹ sư phần mềm có kinh nghiệm phát triển REST API và dịch vụ backend bằng Python, FastAPI, PostgreSQL và Docker. Đã tham gia kiểm thử và triển khai hệ thống.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]","Python API Developer. Develop reliable backend services using Python, FastAPI, PostgreSQL, Docker, and REST API testing.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]",2,Synthetic fixture only
cv-1-job-105,A01,1,105,"Backend software engineer with three years of experience building REST APIs and microservices using Java, Spring Boot, PostgreSQL, Docker, and CI/CD pipelines.","[""Java"",""Spring Boot"",""PostgreSQL"",""Docker"",""CI/CD""]","Python API Developer. Develop reliable backend services using Python, FastAPI, PostgreSQL, Docker, and REST API testing.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]",0,Synthetic fixture only
cv-2-job-102,A01,2,102,"Kỹ sư phần mềm có kinh nghiệm phát triển REST API và dịch vụ backend bằng Python, FastAPI, PostgreSQL và Docker. Đã tham gia kiểm thử và triển khai hệ thống.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]","Lập trình viên Java backend. Phát triển REST API và kiến trúc vi dịch vụ bằng Java, Spring Boot và PostgreSQL.","[""Java"",""Spring Boot"",""PostgreSQL""]",0,Synthetic fixture only
cv-2-job-101,A01,2,101,"Kỹ sư phần mềm có kinh nghiệm phát triển REST API và dịch vụ backend bằng Python, FastAPI, PostgreSQL và Docker. Đã tham gia kiểm thử và triển khai hệ thống.","[""Python"",""FastAPI"",""PostgreSQL"",""Docker"",""REST API""]","Backend Java Developer. Build REST APIs and microservices with Java, Spring Boot, PostgreSQL, Docker, and automated delivery pipelines.","[""Java"",""Spring Boot"",""PostgreSQL"",""Docker""]",0,Synthetic fixture only
